rank,Org_Code,Org_Name,total_patients,total_within,total_breached,compliance_pct
56,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,4507.5,2832.5,1675.0,62.8
57,RH5,SOMERSET NHS FOUNDATION TRUST,3804.5,2393.0,1411.5,62.9
58,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2747.5,1738.0,1009.5,63.3
59,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1244.5,788.5,456.0,63.4
60,RNZ,SALISBURY NHS FOUNDATION TRUST,1556.5,991.5,565.0,63.7
61,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,3779.0,2427.5,1351.5,64.2
62,RJN,EAST CHESHIRE NHS TRUST,767.5,494.5,273.0,64.4
63,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,2714.0,1751.5,962.5,64.5
64,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2441.5,1585.5,856.0,64.9
65,RXF,MID YORKSHIRE TEACHING NHS TRUST,2886.0,1884.5,1001.5,65.3
66,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2241.5,1463.0,778.5,65.3
67,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,2022.5,1321.0,701.5,65.3
68,RLQ,WYE VALLEY NHS TRUST,1283.5,839.5,444.0,65.4
69,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,3866.5,2543.5,1323.0,65.8
70,RN7,DARTFORD AND GRAVESHAM NHS TRUST,994.5,654.0,340.5,65.8
71,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1383.0,910.0,473.0,65.8
72,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2978.5,1958.5,1020.0,65.8
73,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,2142.5,1415.0,727.5,66.0
74,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,1326.5,876.0,450.5,66.0
75,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3231.0,2137.5,1093.5,66.2
76,RPA,MEDWAY NHS FOUNDATION TRUST,1590.0,1054.5,535.5,66.3
77,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1897.0,1260.5,636.5,66.4
78,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1774.0,1185.5,588.5,66.8
79,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1912.0,1277.0,635.0,66.8
80,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1564.0,1050.5,513.5,67.2
81,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,2206.5,1488.5,718.0,67.5
82,RWJ,STOCKPORT NHS FOUNDATION TRUST,1299.0,884.0,415.0,68.1
83,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,5087.0,3468.0,1619.0,68.2
84,RBV,THE CHRISTIE NHS FOUNDATION TRUST,1425.0,972.0,453.0,68.2
85,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1550.0,1058.5,491.5,68.3
86,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2028.0,1386.5,641.5,68.4
87,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,5227.5,3633.5,1594.0,69.5
88,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1038.0,726.0,312.0,69.9
89,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,1957.0,1375.0,582.0,70.3
90,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1986.0,1402.0,584.0,70.6
91,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1942.5,1373.5,569.0,70.7
92,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2144.5,1525.0,619.5,71.1
93,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2576.0,1830.5,745.5,71.1
94,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,980.5,698.0,282.5,71.2
95,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2446.0,1743.5,702.5,71.3
96,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,977.5,701.0,276.5,71.7
97,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,3386.5,2429.5,957.0,71.7
98,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1416.0,1018.0,398.0,71.9
99,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2963.0,2132.0,831.0,72.0
100,RBK,WALSALL HEALTHCARE NHS TRUST,678.5,489.5,189.0,72.1
101,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2507.5,1808.5,699.0,72.1
102,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,3012.0,2191.0,821.0,72.7
103,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1429.0,1042.0,387.0,72.9
104,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1529.0,1117.0,412.0,73.1
105,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,560.0,413.0,147.0,73.8
106,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1601.5,1194.5,407.0,74.6
107,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1172.0,880.0,292.0,75.1
108,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,2198.5,1652.5,546.0,75.2
109,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2152.5,1620.0,532.5,75.3
110,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1151.0,876.5,274.5,76.2
111,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,961.5,733.5,228.0,76.3
112,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1779.0,1369.0,410.0,77.0
113,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1609.5,1241.0,368.5,77.1
114,RCF,AIREDALE NHS FOUNDATION TRUST,850.5,674.5,176.0,79.3
115,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,3837.5,3053.0,784.5,79.6
116,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1849.0,1480.0,369.0,80.0
117,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,1549.0,1242.0,307.0,80.2
118,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2386.5,1955.5,431.0,81.9
119,RMC,BOLTON NHS FOUNDATION TRUST,1362.5,1117.0,245.5,82.0
120,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,740.5,612.5,128.0,82.7
121,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2599.5,2154.0,445.5,82.9
122,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1332.5,1147.0,185.5,86.1
123,NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,848.5,738.0,110.5,87.0
124,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2079.0,1816.0,263.0,87.3
