Cancer_Type,total_patients,over_104_days,pct_over_104
Urological - Prostate,79177.0,10246.0,12.9
Lower Gastrointestinal,50358.0,6837.0,13.6
Lung,51131.0,6755.0,13.2
Urological - Other (a),28973.0,5240.0,18.1
Skin,82910.0,3166.0,3.8
Breast,74769.0,3096.0,4.1
Gynaecological,22184.0,2708.0,12.2
Head & Neck,18739.0,2227.0,11.9
Upper Gastrointestinal - Hepatobiliary,19246.0,1859.0,9.7
Haematological - Lymphoma,15591.0,1812.0,11.6
Upper Gastrointestinal - Oesophagus & Stomach,15231.0,1345.0,8.8
Other (a),13733.0,1036.0,7.5
Haematological - Other (a),12874.0,363.0,2.8
